ID,Created at,Project,Category,Task,Description,Date of start,Date of completion,Action,Update Pushed Live
growtask23,25/05/2025,G.R.O.W Users,Functional Enhancements,Nutritional Analysis Introduction,Add the option for users to add nutritional analysis to their produce to be shown in traceability,25/05/2025,2/6/2025,In Progress,No
growtask24,25/05/2025,G.R.O.W Users,Functional Enhancements,Nutrient and Active Substances Break Down from Added Products,Add the option for users to add the ingredients and % to be shown in traceability,25/05/2025,2/6/2025,In Progress,No
growtask25,25/05/2025,G.R.O.W Users,Functional Enhancements,Satellite Imagery and Weather Integration,Integrate satellite and weather apis to visualize crop health index and weather monitoring for users,25/05/2025,6/6/2025,In Progress,No
growtask26,2/6/2025,G.R.O.W Agronomy,UI/UX and Presentation,Bar Color Logic,"Modify bar color logic based on Marco's proposed percentage thresholds per category (macros, trace elements, Ca:Mg, pH, Lamotte/Reams, organic matter).",2/6/2025,6/6/2025,Pending,No
growtask27,2/6/2025,G.R.O.W Users,UI/UX and Presentation,Bar Color Logic,"Modify bar color logic based on Marco's proposed percentage thresholds per category (macros, trace elements, Ca:Mg, pH, Lamotte/Reams, organic matter).",2/6/2025,6/6/2025,Pending,No
growtask28,2/6/2025,G.R.O.W Users,Feature Development,Stripe Connection,Connect suscriptions to Stripe to start charging for bookings and suscriptions,2/6/2025,3/6/2025,Pending,No
growtask29,2/6/2025,G.R.O.W Users,Feature Development,Billing and Pricing Information,Fine tune billing and pricing information.,2/6/2025,4/6/2025,Pending,No
growtask30,2/6/2025,G.R.O.W Users,Feature Development,Enable Suscriptions,Enable user suscriptions based on final pricing plans.,2/6/2025,4/6/2025,Pending,No
growtask31,2/6/2025,G.R.O.W Agronomy,Feature Development,Soil and Leaf Chart Automation,Automate the process of graphing soil and leaf analysis. Get the chart graphed as asoon as csv/email arrives to agronomy email and email the graph back to agronomy email,2/6/2025,9/6/2025,Pending,No
growtask32,2/6/2025,G.R.O.W Agronomy,UI/UX and Presentation,Soil Report Generation,"Implement section for agronomist to generate, export and edit soil therapy reports (like in plant therapy)",2/6/2025,9/6/2025,Pending,No
